row_id,order_id,tanggal_pemesanan,tanggal_pengiriman,metode_pengiriman,customer_id,nama_pelanggan,segmen,negara,kota,provinsi,kode_pos,wilayah,product_id,kategori,sub_kategori,nama_produk,penjualan,kuantitas,diskon,keuntungan,clean_tanggal_pengiriman,clean_kota,clean_kode_pos,helper_weekday_num,helper_hari
2912,IDN-2014-113929,2014-06-16 0:00:00,2014-06-21 0:00:00,Standard Class,KK-3195,Koko Kuswoyo,Consumer,Indonesia,Denpasar,Bali,80231,South,OFF-EN-10003286,Office Supplies,Envelopes,Amplop Putih 8529,621000,5,0,291870,2014-06-21 0:00:00,Denpasar,80231,1,Senin
7414,IDN-2017-121125,2017-05-30 0:00:00,2017-06-03 0:00:00,Standard Class,NFS-7498,"Nadine Firmansyah, S.IP",Home Office,Indonesia,Jakarta,DKI Jakarta,10110,West,FUR-FU-10000820,Furniture,Furnishings,Lampu Meja 1440,203880,1,"0,2",-5097,2017-06-03 0:00:00,Jakarta,10110,2,Selasa
5875,IDN-2017-133095,2017-06-04 0:00:00,2017-06-04 0:00:00,Same Day,LR-3787,Lamar Riyanti,Home Office,Indonesia,Surabaya,Jawa Timur,60231,East,OFF-BI-10004141,Office Supplies,Binders,Binder Plastik A4 4128,143100,3,0,65826,2017-06-04 0:00:00,Surabaya,60231,7,Minggu
3090,IDN-2017-159205,2017-03-31 0:00:00,2017-04-02 0:00:00,Second Class,KAS-4437,"Kamaria Anggraini, S.T.",Home Office,Indonesia,Semarang,Jawa Tengah,50111,Central,TEC-PH-10000526,Technology,Phones,Smartphone Android 0459,10078950,7,0,2822106,2017-04-02 0:00:00,Semarang,50111,5,Jumat
1224,IDN-2016-126004,2016-12-04 0:00:00,2016-12-05 0:00:00,First Class,RISS-4460,"R. Irfan Suartini, S.Sos",Consumer,Indonesia,Balikpapan,Kalimantan Timur,76114,East,TEC-AC-10001432,Technology,Accessories,Flashdisk 0018,1172250,1,0,515790,2016-12-05 0:00:00,Balikpapan,76114,7,Minggu
8336,IDN-2017-161655,2017-05-13 0:00:00,2017-05-18 0:00:00,Second Class,KA-9403,Kasiyah Anggraini,Home Office,Indonesia,Makassar,Sulawesi Selatan,90111,South,OFF-BI-10002082,Office Supplies,Binders,Binder Kancing A4 3483,4492800,9,0,2246400,2017-05-18 0:00:00,Makassar,90111,6,Sabtu
8320,IDN-2017-133620,2017-11-13 0:00:00,2017-11-18 0:00:00,Standard Class,TKS-5969,"Tantri Kuswandari, S.I.Kom",Consumer,Indonesia,Bandung,Jawa Barat,40111,West,OFF-ST-10004634,Office Supplies,Storage,Rak Dokumen 3119,168150,1,0,50445,2017-11-18 0:00:00,Bandung,40111,1,Senin
1960,IDN-2017-110905,2017-09-10 0:00:00,2017-09-15 0:00:00,Second Class,DEPS-4217,"Dt. Eja Pradana, S.Pd",Consumer,Indonesia,Yogyakarta,DI Yogyakarta,55111,Central,OFF-AP-10004785,Office Supplies,Appliances,Mesin Penghancur Kertas 7177,509850,3,0,219236,2017-09-15 0:00:00,Yogyakarta,55111,7,Minggu
1695,IDN-2015-156335,2015-09-25 0:00:00,2015-09-28 0:00:00,Second Class,GS-1390,Genta Saefullah,Home Office,Indonesia,Yogyakarta,DI Yogyakarta,55111,Central,TEC-AC-10002006,Technology,Accessories,Mouse Wireless 9180,959400,4,0,297414,2015-09-28 0:00:00,Yogyakarta,55111,5,Jumat
3224,IDN-2014-108189,2014-10-02 0:00:00,2014-10-05 0:00:00,First Class,MS-5152,Maimunah Situmorang,Corporate,Indonesia,Jakarta,DKI Jakarta,10110,West,OFF-FA-10000735,Office Supplies,Fasteners,Paper Clip 4589,70080,2,"0,2",21900,2014-10-05 0:00:00,Jakarta,10110,4,Kamis
